AwardTitle,StartDate,EndDate,AwardAmount,timeline_months
Examining the Role of District Science Coordinator Professional Learning in Supporting and Retaining Science Teachers,2026-10-01,2027-11-30,157689.0,13
CAREER: Enabling Single-Step Additive Manufacturing of Ceramics via Laser-Triggered Flash Sintering and Scientific Artificial Intelligence-based Multiscale Modeling,2026-09-01,2031-08-31,550000.0,59
REU Site: Novel Techniques and Applications in Catalysis Research Development and Molecular Dynamics,2026-09-01,2029-08-31,463725.0,35
Collaborative Research: Quantifying Secondary Electron Emission for Predictive Electrode Boundary Conditions in Plasma-Assisted Combustion,2026-09-01,2029-08-31,349998.0,35
Collaborative Research: RUI: Evaluating the Impacts of Toxic Dust from the Great Salt Lake on Agriculture and Ecosystems,2026-09-01,2029-08-31,154191.0,35
Collaborative Research: Using AI-powered Non-lethal Sampling to Inform Evidence-based Forest Management Practices and Enhance Pollinator Conservation,2026-09-01,2030-08-31,797762.0,47
CAREER: Quantum-Inspired Dynamic Control in Composite Metastructures with Long-Range Coupling,2026-09-01,2031-08-31,596099.0,59
AGS FIRP Track 1: Education and Training during the 2026 International Society for Atmospheric Research using Remotely-piloted Aircraft Flight Week,2026-09-01,2027-08-31,24712.0,11
RTG: Statistics and Data Theory - Engaging the Future of Data Science,2026-09-01,2031-08-31,1263600.0,59
"Blurring Boundaries Over Time: A Longitudinal Study of AI, Metacognitive Regulation, and Responsibility in Engineering Problem Solving",2026-09-01,2030-08-31,618387.0,47
Collaborative Research: Quantifying Secondary Electron Emission for Predictive Electrode Boundary Conditions in Plasma-Assisted Combustion,2026-09-01,2029-08-31,300000.0,35
"CAREER: OpenGPRxAI: Open-Source, AI-Powered Ground Penetrating Radar Technologies for Real-Time Subsurface Vision",2026-09-01,2031-08-31,560865.0,59
CAREER: Internet of Foundation Models (IoFM): Expanding the Frontiers of Distributed Learning in Heterogeneous Networks,2026-09-01,2031-08-31,550000.0,59
CAREER: 3D One-step Heterogeneous Manufacturing for Integrated Circuits (3D OHMIC),2026-09-01,2031-08-31,549994.0,59
CAREER: Modeling Trust Dynamics and System Adaptation for Human-AI Collaboration in Engineering Design,2026-09-01,2031-08-31,545650.0,59
Postdoctoral Fellowship: PRFB: Mapping the Bumblebee Social Network Across Levels of Organization,2026-09-01,2029-08-31,270000.0,35
Postdoctoral Fellowship: PRFB: Using the introduced parrots of southern California as a model system for studying evolutionary response to a rapid shift in environmental conditions,2026-09-01,2029-08-31,270000.0,35
Collaborative Research: RUI: Evaluating the Impacts of Toxic Dust from the Great Salt Lake on Agriculture and Ecosystems,2026-09-01,2029-08-31,480175.0,35
Collaborative Research: RUI: Evaluating the Impacts of Toxic Dust from the Great Salt Lake on Agriculture and Ecosystems,2026-09-01,2029-08-31,263663.0,35
CAREER: A Systematic Framework for Synergistic Co-Design of Form and Function in Hybrid Dynamical Systems,2026-09-01,2031-08-31,611222.0,59
CAREER: Improving Peer Interactions in Engineering: An Exploration of Peer Behaviors in Engineering Classrooms,2026-09-01,2031-08-31,500000.0,59
A Generalizable Platform for Adaptive Control of Complex Biological Systems,2026-09-01,2029-08-31,400000.0,35
Collaborative Research: Using AI-powered Non-lethal Sampling to Inform Evidence-based Forest Management Practices and Enhance Pollinator Conservation,2026-09-01,2030-08-31,249947.0,47
CAREER: Aqueous Click Functionalization of Nanocellulose for Scalable Production of Property Programmable Plastics,2026-09-01,2031-08-31,348961.0,59
CAREER: Atomistic-Scale Investigation of How Chemical and Physical Heterogeneities Govern Ion-Selective Transport in Metal-Organic Framework Membranes,2026-09-01,2031-08-31,548900.0,59
Postdoctoral Fellowship: PRFB: The Role of Plant Immunity in Driving Maize Microbe-Dependent Heterosis,2026-08-15,2029-07-31,270000.0,35
Summer School on Understanding the Earth System Across Scales Workshop,2026-08-15,2027-07-31,49828.0,11
CAREER: Energy-Efficient and Compact Foundation Model for Universal Virtual Sensing in Dynamic Energy Systems,2026-08-15,2031-07-31,587981.0,59
"Postdoctoral Fellowship: PRFB: Testing a role for interspecific interactions in signal evolution, speciation, and sympatry in birds",2026-08-15,2029-07-31,270000.0,35
CAREER: Modeling High Free Volume Polymers: Influence of Free Volume Element Distribution and Chain Dynamics on Physical Aging,2026-08-01,2031-07-31,384961.0,59
CAREER: Integrated Digital Thread for Self-Evolving Cooperative Robotics Remanufacturing,2026-08-01,2031-07-31,509434.0,59
CAREER: Unlocking Programmable Doping in Wide-Bandgap Materials,2026-08-01,2031-07-31,369607.0,59
CAREER: A Framework for Galaxy Formation Theory in the Era of Artificial Intelligence,2026-08-01,2031-07-31,445607.0,59
CAREER: Process-Induced Interfacial Crack Formation in Multi-Metal Additive Manufacturing,2026-08-01,2031-07-31,549994.0,59
CAREER: Scalable Adaptive Control with Performance Guarantees for Safe and Efficient Autonomous Systems,2026-08-01,2031-07-31,599981.0,59
CAREER: Establishing Structure-property Relationships in Anion Exchange Membranes to Empower Water Electrolysis,2026-08-01,2031-07-31,582747.0,59
CAREER: Topological quantum devices as a window into strongly correlated matter,2026-08-01,2031-07-31,360000.0,59
CAREER: Accelerating Neutrino Physics into the Precision Era,2026-07-01,2031-06-30,400000.0,59
CAREER: Understanding Traumatic Brain Injury Through Cross Species Brain Biomechanics,2026-07-01,2031-06-30,600000.0,59
ERI: Fundamental Study of Multiscale Dynamics of Molecular Mixing and Chemical Reactions in Multiphase Systems,2026-07-01,2028-06-30,200000.0,23
NLI: Design and Development: Cross disciplinary co-teaching sustainability across the formal and informal engineering undergraduate curriculum,2026-07-01,2029-06-30,400000.0,35
CAREER: Simulation Optimization Reimagined: Coupling Exploratory Simulation Analysis and Optimization for Holistic Decision Making,2026-07-01,2031-06-30,551703.0,59
CAREER: Understanding Intermediate Sulfur Phases for Enhanced Energy Storage,2026-07-01,2031-06-30,619838.0,59
CAREER: Low-Valent Metal Qubits for Quantum Information Science,2026-07-01,2031-06-30,609539.0,59
ERI: Engineering Bioactive Metallo-Elastomer Vascular Grafts with Integrated Piezoelectric Stimulation,2026-07-01,2028-06-30,200000.0,23
CAREER: Tailoring Light-Matter Interactions in Perovskite-Based Molecular Metamaterials for Quantum-Informed Photonic Technologies.,2026-07-01,2031-06-30,549725.0,59
Conference: Combinatorics Research School,2026-07-01,2027-06-30,24700.0,11
Conference: Artificial Intelligence and the Future of Human Connections,2026-07-01,2027-12-31,49949.0,17
CAREER: Bioengineering of a Human Blood-Spinal Cord Barrier-on-a-Chip,2026-07-01,2031-06-30,600000.0,59
Gel Electromicrofluidics Assisted In Situ Single Cell Analysis,2026-07-01,2029-06-30,450000.0,35
"Postdoctoral Fellowship: EAR-PF: Reconstructing and Modeling Hydrology, Vegetation, and Ocean Temperatures at the Mio-Pliocene Re-Flooding of the Mediterranean",2026-07-01,2028-06-30,334990.0,23
CAREER: Unraveling contributions of passive and active joint stabilizers to advance fundamental knowledge of joint instability,2026-07-01,2031-06-30,629996.0,59
CAREER: Dynamical Analysis of Global Optimization Algorithms,2026-07-01,2031-06-30,549353.0,59
Conference: 2026 ASA Statistical Methods in Imaging (SMI) Conference,2026-06-01,2026-11-30,25000.0,5
CAREER: Decoding Chronic Wound Trajectory Through Real-Time Biomaterial-mediated Cytokine Sensing,2026-06-01,2031-05-31,629903.0,59
CAREER: Advancing modular quantum computing with Josephson junction field effect transistors,2026-06-01,2031-05-31,550000.0,59
CAREER: Elucidating and Leveraging the Connection Between Label-Free Biomedical Imaging and Gene Network Regulation,2026-06-01,2031-05-31,625000.0,59
"CAREER: Frontiers of Superconductivity: Unconventional, Topological, and Low-Density Systems",2026-06-01,2031-05-31,390000.0,59
CAREER: Long-term Cryopreservation of Organs by Electromagnetic Waves-Facilitated Vitrification and Rewarming,2026-06-01,2031-05-31,548298.0,59
Conference: Heat Kernels and Stochastic Analysis,2026-06-01,2027-05-31,31608.0,11
CAREER: Advancing Electrocatalysis with Monolithic Nanoporous Electrodes: A Study of Redox Transport and Confinement,2026-06-01,2031-05-31,691938.0,59
CAREER: Transport and transport effects of magnetic nanoparticles in bacterial biofilms,2026-06-01,2031-05-31,698236.0,59
Conference: The 2026 World Meeting of the International Society for Bayesian Analysis,2026-06-01,2027-05-31,20000.0,11
Travel: NSF Student Travel Grants for VehicleSec '26 and USENIX Security '26,2026-06-01,2027-02-28,15000.0,8
"REU Site: Physics at Kansas State University, Interactions of Matter, Light, and Learning",2026-06-01,2029-05-31,528092.0,35
Conference: CMND 2026 Thematic Program - Algebraic Combinatorics and Applications,2026-06-01,2027-05-31,49690.0,11
Collaborative Research: Conference: CI PAOS: AI and FAIR Data Infrastructure for Advanced Materials and Manufacturing,2026-06-01,2027-05-31,25000.0,11
CAREER: Electronic and optical phenomena in moire materials beyond the flat-band paradigm,2026-06-01,2031-05-31,360000.0,59
Collaborative Research: Conference: CI PAOS: AI and FAIR Data Infrastructure for Advanced Materials and Manufacturing,2026-06-01,2027-05-31,24996.0,11
CAREER: Foundations of Machine Learning-Enhanced Branch-and-Bound Algorithms for Scalable Global Optimization,2026-05-15,2031-04-30,639433.0,59
ERI: Engineering perivascular microphysiological systems to discover hydrodynamic signatures of neurodegeneration,2026-05-15,2028-04-30,199991.0,23
Conference: Recent Perspectives on Moments of L-functions,2026-05-15,2027-04-30,25723.0,11
REU Site: Research Experiences for Community College Students in Physics and Astronomy,2026-05-01,2029-04-30,457927.0,35
CAREER: Learning to Avoid Tragedies: Heterogeneous Multi-Agent Learning in Dynamic Environments,2026-05-01,2031-04-30,527459.0,59
CAREER: Optically Active Ensemble Defects in Monolayer Semiconductors for Magnetic Quantum Sensing,2026-05-01,2031-04-30,401476.0,59
AGS-FIRP Track 1: Purdue Radar Education (PurRadE): Integrating RaXPol into a Severe Storms Field Work Course,2026-05-01,2027-04-30,32417.0,11
CAREER: Decoding Polymer-Drug Interactions with AI for Rational Carrier Design,2026-05-01,2031-04-30,373802.0,59
Conference: Georgia Topology Conference,2026-05-01,2027-04-30,29400.0,11
Conference: When Analysis Meets Geometry,2026-05-01,2027-04-30,39570.0,11
Conference: 2026 Great Plains Operator Theory Symposium,2026-05-01,2027-04-30,40000.0,11
Conference: May Midwestern Microlocal Meeting 2026,2026-05-01,2027-04-30,9600.0,11
CAREER: Dynamics by Design: Bifurcation Engineering for Sensors and Structures,2026-05-01,2031-04-30,649684.0,59
CAREER: Quantifying the Mechanical Role of Matrix-Bound Water in Bone through Multiscale Imaging and Modeling,2026-05-01,2031-04-30,596068.0,59
Conference: Travel Awards to Attend the XXI Latin American Symposium on Mathematical Logic,2026-05-01,2027-04-30,16400.0,11
Conference: Algebra and Arithmetic from Model Theory,2026-05-01,2027-04-30,36376.0,11
"Conference: Travel grants for U.S. participants, SPA Cornell 2026, 45th Conference on Stochastic Processes and Their Applications",2026-05-01,2027-04-30,50000.0,11
CAREER: Unraveling Chemical and Structural Dynamics in Multi-step Multi-electron Conversion Reactions,2026-05-01,2031-04-30,549589.0,59
Conference: The 11th Workshop on Biostatistics and Bioinformatics,2026-05-01,2027-04-30,13230.0,11
Travel: Formalizing Higher Categories at Mittag-Leffler Institute,2026-05-01,2027-04-30,25000.0,11
Conference: Geometric Group Theory Around Cube Complexes,2026-05-01,2027-04-30,20000.0,11
Conference: Linear Algebra on the Blue Ridge: Panoramas of Theory and Application (LABR),2026-05-01,2027-04-30,25000.0,11
"Conference: Rutgers Gauge Theory, Low-Dimensional Topology, and Geometric Analysis ICM Satellite Conference July 13-17 2026",2026-05-01,2027-04-30,30000.0,11
CAREER: Advancing Precision Biomimetic Nanodelivery for Neurovascular Inflammation,2026-05-01,2031-04-30,561273.0,59
Collaborative Research: Thermal refuge or cascading extinctions: evaluating the capacity of coastal foundation species to mitigate impacts of intensifying heat waves,2026-04-15,2029-03-31,209305.0,35
Travel: NSF Student Travel Grant for 2026 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS),2026-04-15,2027-03-31,15000.0,11
Collaborative Research: Thermal refuge or cascading extinctions: evaluating the capacity of coastal foundation species to mitigate impacts of intensifying heat waves,2026-04-15,2029-03-31,391523.0,35
Conference: 11th Lake Michigan Workshop on Combinatorics and Graph Theory,2026-04-15,2027-03-31,27500.0,11
CAREER: Enabling Secure and Efficient AI Infrastructure with CXL-Enabled Disaggregated Shared Memory,2026-04-01,2031-03-31,464384.0,59
Collaborative Research: Structure and Dynamics of Solvate Ionic Liquids: A Mixed Experimental and Computational Approach,2026-04-01,2026-05-31,60755.0,1
Travel: NSF Student Travel Grant for 2026 IEEE International Symposium on Dynamic Spectrum Access Networks (IEEE DySPAN),2026-04-01,2027-03-31,15000.0,11
Conference: Great Lakes Microplastics Research Symposium: Integrating Environment and Health,2026-04-01,2027-03-31,25100.0,11
Collaborative Research: DMREF: NSF-DFG: Rational Design of Tunable Anisotropic Chalcogenides for Optics,2026-04-01,2030-03-31,665000.0,47
Collaborative Research: DMREF: NSF-DFG: Rational Design of Tunable Anisotropic Chalcogenides for Optics,2026-04-01,2030-03-31,665575.0,47
Collaborative Research: DMREF: NSF-DFG: Rational Design of Tunable Anisotropic Chalcogenides for Optics,2026-04-01,2030-03-31,669000.0,47
Travel: Student Travel Grant for 2026 Computational Geometry Week,2026-04-01,2027-03-31,15000.0,11
CAREER: Enabling High-resolution Selective Laser Printing with Nanoparticles,2026-04-01,2031-03-31,550000.0,59
"CAREER: Dual-Wavelength Sub-diffraction Limited Digital-light Projection (DLP) for High-Performance, Nano-Architected Polymers",2026-04-01,2031-03-31,550000.0,59
CAREER: SQALE: Scalable Quantum Architectures with LDPC Error-correction,2026-04-01,2031-03-31,477555.0,59
Collaborative Research: RAPID: Catalyzing a Joint US-NZ Spectral Repository of Antarctic Photoautotrophs in the Face of Ongoing Environmental Shifts,2026-04-01,2027-03-31,81443.0,11
Collaborative Research: RAPID: Catalyzing a Joint US-NZ Spectral Repository of Antarctic Photoautotrophs in the Face of Ongoing Environmental Shifts,2026-04-01,2027-03-31,63416.0,11
Travel: NSF Student Travel Grant for 2026 IEEE VLSI Test Symposium (IEEE VTS),2026-04-01,2027-03-31,12000.0,11
"CAREER: Trustworthy Learning-Enabled Autonomy: Safe, Robust, and Scalable Data-Driven Decision-Making",2026-04-01,2031-03-31,659678.0,59
CAREER: Robust Learning via Optimal Transport,2026-04-01,2031-03-31,670000.0,59
CAREER: Beyond Visible: Autonomous Soft Agro-Bioproduct Manufacturing with Lifelong Hyperspectral-Guided Imitation Learning for Mass Personalization,2026-04-01,2031-03-31,511074.0,59
EAGER: Developing the Wave Distribution Function Method for RBSP Wave Data Analysis,2026-04-01,2028-03-31,299614.0,23
Conference: Western Dynamical Systems Conference,2026-04-01,2027-03-31,15000.0,11
"CAREER: Unlocking Spin Topological States in 1D Molecular Systems for Highly Efficient, Tunable Long-Range Quantum Transport",2026-04-01,2031-03-31,562442.0,59
MRI: Track 1 Acquisition of PSV QTEC H 3D - Scanning Vibrometer,2026-04-01,2029-03-31,625244.0,35
Postdoctoral Fellowship: PRFB: Eco-evolutionary impacts of cyanobacterial diets on host-parasite interactions,2026-04-01,2029-03-31,270000.0,35
Conference: 2026 Solid State Chemistry GRC and GRS,2026-04-01,2026-09-30,30000.0,5
"Conference: Support for Broadening Student Participation in the Mechanical Vibration and Noise (VIB) Track at the 2026 ASME IDETC Conferences; Houston, Texas; 23-26 August 2026",2026-04-01,2027-03-31,25000.0,11
Exploring the statistical physics of artificial frustrated spin systems in space and time,2026-04-01,2028-03-31,299999.0,23
Collaborative Research: AGS-FIRP Track 2--Phased Array Polarimetry for Electrification and Lightning (PAPEL),2026-04-01,2029-03-31,389343.0,35
"Conference: Frontiers of Engineering Symposia (2026 USFOE, and 2026 EU-US FOE)",2026-04-01,2027-03-31,150000.0,11
CAREER: Smart Sensing of Nitrogen for Precision Agriculture,2026-04-01,2031-03-31,583047.0,59
EAGER: Leveraging Quantum Computing for Stochastic Optimization,2026-04-01,2028-03-31,300000.0,23
Travel: Student Travel Grant for the 2026 IEEE ICC,2026-04-01,2027-03-31,20000.0,11
Conference: NSF Student Travel Grant for 2026 Digital Forensics Research Conference (DFRWS),2026-04-01,2027-03-31,10000.0,11
MRI: Track 1: Development of a System for Ultra-Low Temperature Spectroscopy of Quantum Emitters in Solids and 2-Dimensional Materials,2026-04-01,2029-03-31,1393726.0,35
Conference: 2026 Redbud Topology Conference,2026-04-01,2027-03-31,30000.0,11
Conference: XXXI Southern California Geometric Analysis Seminar (SCGAS),2026-04-01,2027-03-31,39999.0,11
Conference: Great Plains Combinatorics Conference 2026,2026-04-01,2027-03-31,18100.0,11
Collaborative Research: AGS-FIRP Track 2--Phased Array Polarimetry for Electrification and Lightning (PAPEL),2026-04-01,2029-03-31,971621.0,35
ERI: Engineering a Hybrid Wearable System to Study High-Risk Postures and Low Back Pain-Related Disability,2026-04-01,2028-03-31,200000.0,23
CAREER: Uncovering Mechanical Structure-Property Relations in Highly Entangled Polymers via Multiscale Modeling and Interpretable Machine Learning,2026-04-01,2031-03-31,569573.0,59
Conference: Gordon Research Conference and Seminar on Flow and Transport in Permeable Media,2026-04-01,2027-03-31,25000.0,11
Conference: Quantum Biotechnology: Bridging the Gap from Innovation to Impact,2026-04-01,2027-03-31,195997.0,11
